,bed,bath,acre_lot,state,house_size,price
122,2.0,1.0,0.5,0,1440.0,224900.0
123,4.0,4.0,1.59,0,3444.0,799000.0
124,5.0,2.0,0.15,0,2316.0,289900.0
125,4.0,2.0,0.17,0,2030.0,195500.0
126,3.0,5.0,14.48,0,3112.0,1390000.0
127,8.0,8.0,0.1,0,11890.0,750000.0
128,3.0,2.0,1.59,0,1499.0,350000.0
129,1.0,1.0,0.49,0,988.0,375000.0
130,3.0,2.0,1.48,0,1683.0,526000.0
131,3.0,2.0,1.38,0,1683.0,535000.0
132,2.0,1.0,0.19,0,540.0,89000.0
133,4.0,2.0,0.14,0,1470.0,204900.0
134,3.0,3.0,19.23,0,2268.0,285000.0
135,2.0,1.0,0.6,0,802.0,169999.0
136,2.0,1.0,0.15,0,500.0,79000.0
137,3.0,2.0,0.41,0,2003.0,479900.0
138,1.0,1.0,0.29,0,640.0,184900.0
139,2.0,1.0,0.15,0,1276.0,195000.0
140,3.0,3.0,0.1,0,1781.0,219900.0
141,4.0,2.0,0.35,0,1536.0,339900.0
142,2.0,3.0,30.0,0,2130.0,330000.0
143,3.0,1.0,0.13,0,1456.0,279900.0
144,3.0,2.0,0.56,0,1176.0,299900.0
145,3.0,2.0,0.5,0,1128.0,390000.0
146,2.0,1.0,0.22,0,816.0,215000.0
147,3.0,2.0,0.25,0,1609.0,425000.0
148,4.0,3.0,0.46,0,2108.0,400000.0
149,4.0,5.0,1.02,0,2396.0,500000.0
150,12.0,6.0,0.6,0,5044.0,899900.0
151,4.0,3.0,1.68,0,2200.0,599900.0
152,5.0,2.0,0.38,0,3364.0,689000.0
153,4.0,3.0,0.25,0,1764.0,449900.0
154,3.0,2.0,2.2,0,1350.0,425000.0
155,4.0,2.0,0.13,0,1596.0,249987.0
156,3.0,1.0,0.27,0,1170.0,295000.0
157,6.0,3.0,0.26,0,2828.0,399000.0
158,3.0,2.0,2.0,0,1950.0,689900.0
159,2.0,2.0,0.49,0,1264.0,595000.0
160,2.0,2.0,0.49,0,1146.0,615000.0
161,3.0,2.0,1.38,0,2298.0,689900.0
162,7.0,5.0,2.5,0,2833.0,429900.0
163,3.0,2.0,10.0,0,1277.0,335000.0
164,5.0,3.0,0.32,0,1850.0,299900.0
165,3.0,1.0,0.26,0,1048.0,199900.0
166,4.0,2.0,0.14,0,2040.0,185000.0
167,2.0,1.0,0.55,0,1130.0,189900.0
168,3.0,2.0,0.65,0,1544.0,245000.0
169,4.0,2.0,0.12,0,1599.0,214900.0
170,3.0,2.0,0.25,0,1531.0,265000.0
171,3.0,2.0,0.5,0,1456.0,259900.0
172,5.0,2.0,0.85,0,1605.0,379900.0
173,3.0,3.0,1.08,0,2360.0,435000.0
174,7.0,5.0,0.15,0,3148.0,425000.0
175,3.0,1.0,1.39,0,1748.0,425000.0
176,3.0,2.0,0.66,0,1772.0,349900.0
177,3.0,1.0,0.29,0,1482.0,275000.0
178,4.0,2.0,0.62,0,1988.0,379900.0
179,4.0,2.0,0.43,0,1782.0,445000.0
180,3.0,2.0,7.44,0,1809.0,624900.0
181,3.0,2.0,1.07,0,1100.0,340000.0
182,4.0,3.0,0.65,0,3465.0,865000.0
183,3.0,4.0,0.13,0,3000.0,349900.0
184,6.0,4.0,0.16,0,2844.0,300000.0
185,4.0,2.0,0.18,0,2382.0,824900.0
186,4.0,1.0,0.91,0,1404.0,349900.0
187,24.0,9.0,0.13,0,9999.0,900000.0
188,4.0,2.0,0.11,0,1872.0,259900.0
189,4.0,1.0,0.21,0,1272.0,319900.0
190,3.0,2.0,0.16,0,1284.0,240000.0
191,5.0,5.0,2.0,0,4476.0,1290000.0
192,3.0,1.0,0.26,0,1096.0,289900.0
193,3.0,2.0,1.39,0,1232.0,419900.0
194,3.0,3.0,1.3,0,2364.0,260000.0
195,2.0,2.0,0.23,0,1210.0,199900.0
196,4.0,2.0,25.4,0,1613.0,365000.0
197,9.0,10.0,2.83,0,5512.0,945000.0
198,2.0,1.0,2.61,0,936.0,270000.0
199,4.0,2.0,0.59,0,2394.0,439500.0
200,2.0,2.0,0.43,0,1247.0,245000.0
201,3.0,3.0,0.14,0,1978.0,289000.0
202,8.0,4.0,0.14,0,4192.0,299900.0
203,3.0,2.0,1.21,0,1062.0,329000.0
204,5.0,4.0,0.38,0,3606.0,525000.0
205,2.0,1.0,0.27,0,1200.0,235000.0
206,3.0,3.0,0.4,0,1916.0,449000.0
207,8.0,6.0,0.13,0,3111.0,324999.0
208,4.0,2.0,0.49,0,1814.0,415000.0
209,5.0,4.0,0.72,0,4468.0,995000.0
210,4.0,1.0,0.26,0,1184.0,250000.0
211,3.0,2.0,0.54,0,1336.0,325000.0
212,3.0,2.0,0.16,0,1280.0,275000.0
213,3.0,2.0,0.23,0,1248.0,325000.0
214,2.0,1.0,0.5,0,1072.0,399999.0
215,4.0,3.0,0.46,0,2143.0,499900.0
216,4.0,4.0,0.91,0,2420.0,547500.0
217,3.0,2.0,0.73,0,1559.0,495000.0
218,3.0,2.0,0.53,0,880.0,299900.0
219,2.0,1.0,0.48,0,1115.0,319000.0
220,28.0,16.0,0.13,0,9999.0,1500000.0
221,6.0,4.0,0.93,0,3845.0,549900.0
222,3.0,2.0,0.26,0,1300.0,349990.0
223,1.0,1.0,0.02,0,408.0,27700.0
224,3.0,2.0,0.2,0,1584.0,299900.0
225,3.0,2.0,0.05,0,1092.0,219900.0
226,3.0,3.0,2.22,0,2762.0,425000.0
227,3.0,1.0,0.47,0,1268.0,156750.0
228,3.0,3.0,0.13,0,1212.0,225000.0
229,3.0,1.0,31.0,0,1749.0,550000.0
230,3.0,2.0,0.47,0,1381.0,354900.0
231,6.0,3.0,0.31,0,2408.0,365000.0
232,3.0,1.0,0.15,0,1170.0,219000.0
233,3.0,2.0,0.27,0,1265.0,259900.0
234,4.0,2.0,0.17,0,2094.0,299987.0
235,3.0,2.0,0.2,0,1349.0,439900.0
236,7.0,4.0,0.33,0,2538.0,377000.0
237,10.0,5.0,0.21,0,4277.0,474500.0
238,3.0,3.0,1.84,0,1739.0,499900.0
239,5.0,3.0,2.26,0,3042.0,519900.0
240,4.0,2.0,0.13,0,1976.0,300000.0
241,3.0,1.0,0.34,0,1248.0,350000.0
242,4.0,2.0,0.16,0,1280.0,375000.0
243,6.0,3.0,2.0,0,3060.0,599000.0
244,3.0,2.0,0.69,0,1550.0,599900.0
245,3.0,2.0,0.39,0,900.0,225000.0
246,3.0,2.0,0.39,0,900.0,225000.0
247,3.0,2.0,0.39,0,900.0,225000.0
248,3.0,3.0,0.92,0,2100.0,525000.0
249,3.0,2.0,0.39,0,1224.0,230000.0
250,3.0,2.0,0.39,0,1224.0,230000.0
251,3.0,2.0,0.39,0,1224.0,230000.0
252,5.0,4.0,0.72,0,3100.0,948000.0
253,3.0,2.0,1.0,0,1300.0,450000.0
254,3.0,3.0,1.0,0,1872.0,525000.0
255,3.0,2.0,0.33,0,1770.0,266000.0
256,2.0,2.0,2.03,0,1655.0,374900.0
257,3.0,1.0,0.41,0,960.0,240000.0
258,2.0,2.0,0.57,0,924.0,149900.0
259,5.0,2.0,0.25,0,2856.0,330000.0
260,4.0,2.0,0.21,0,1303.0,269900.0
261,3.0,2.0,1.08,0,1463.0,346000.0
262,4.0,3.0,0.18,0,4704.0,249900.0
263,4.0,2.0,0.33,0,2003.0,225000.0
264,3.0,1.0,0.15,0,1416.0,235000.0
265,6.0,7.0,4.52,0,6250.0,1500000.0
266,3.0,3.0,0.84,0,2495.0,399900.0
267,5.0,2.0,2.11,0,3024.0,275000.0
268,3.0,1.0,0.4,0,1529.0,265000.0
269,3.0,2.0,0.33,0,1650.0,299999.0
270,4.0,2.0,0.13,0,1529.0,229000.0
271,4.0,3.0,0.28,0,2400.0,425000.0
272,3.0,2.0,1.92,0,1643.0,474900.0
273,3.0,1.0,0.46,0,909.0,319000.0
274,3.0,1.0,0.65,0,1424.0,299000.0
275,4.0,2.0,1.2,0,2070.0,324900.0
276,3.0,1.0,0.8,0,1040.0,309000.0
277,3.0,1.0,0.51,0,960.0,254900.0
278,4.0,1.0,1.06,0,1243.0,279900.0
279,6.0,5.0,0.39,0,3246.0,880000.0
280,6.0,2.0,0.13,0,2288.0,294900.0
281,5.0,2.0,0.51,0,2264.0,299900.0
282,4.0,4.0,0.77,0,3879.0,699900.0
283,6.0,5.0,0.08,0,5992.0,399000.0
284,5.0,4.0,0.64,0,2363.0,650000.0
285,4.0,3.0,0.97,0,2475.0,629000.0
286,4.0,3.0,1.6,0,1960.0,399900.0
287,4.0,3.0,0.69,0,3476.0,675000.0
288,4.0,3.0,100.5,0,3063.0,1237542.0
289,2.0,2.0,0.51,0,2000.0,397000.0
290,1.0,1.0,0.4,0,634.0,65000.0
291,4.0,2.0,0.11,0,1180.0,239999.0
292,3.0,1.0,0.24,0,1309.0,230000.0
293,3.0,2.0,0.4,0,1911.0,239900.0
294,3.0,1.0,0.31,0,1252.0,184900.0
295,6.0,2.0,0.13,0,2418.0,249900.0
296,4.0,3.0,0.29,0,1514.0,249900.0
297,4.0,1.0,0.64,0,1296.0,329000.0
298,12.0,3.0,0.15,0,3902.0,369900.0
299,10.0,4.0,0.22,0,4420.0,369900.0
300,4.0,3.0,0.96,0,2700.0,929900.0
301,3.0,2.0,0.15,0,1613.0,299900.0
302,5.0,3.0,0.14,0,2328.0,289900.0
